, PRECIO , VN , PxQ ,Mayor a 100K
0,1.88,2724,5121.12,0
1,1.88,2276,4278.88,0
2,1.88,3600,6768,0
3,1.88,245,460.6,0
4,1.88,908,1707.04,0
5,1.88,247,464.36,0
6,1.88,5904,11099.52,0
7,1.88,247,464.36,0
8,1.88,1000,1880,0
9,1.88,5630,10584.4,0
10,1.9,877,1666.3,0
11,1.9,4123,7833.7,0
12,1.91,3906,7460.46,0
13,1.95,3633,7084.35,0
14,1.95,2000,3900,0
15,1.95,271,528.45,0
16,1.98,693,1372.14,0
17,1.97,123,242.31,0
18,1.97,500,985,0
19,1.97,824,1623.28,0
20,1.97,553,1089.41,0
21,1.98,447,885.06,0
22,2,865,1730,0
23,2,1635,3270,0
24,2,27,54,0
25,2,2498,4996,0
26,2,1544,3088,0
27,2,398,796,0
28,2,625,1250,0
29,2,465,930,0
30,2,30000,60000,1
31,2,5414,10828,0
32,2,908,1816,0
33,2.05,1062,2177.1,0
34,2.05,700,1435,0
35,2.05,1238,2537.9,0
36,2.05,632,1295.6,0
37,2.05,3762,7712.1,0
38,2.05,606,1242.3,0
39,2.05,3064,6281.2,0
40,2.05,936,1918.8,0
41,2.05,4000,8200,0
42,2.05,64,131.2,0
43,2.05,227,465.35,0
44,2.05,467,957.35,0
45,2.05,186,381.3,0
46,2.1,1500,3150,0
47,2.1,30000,63000,1
48,2.1,708,1486.8,0
49,2.1,2000,4200,0
50,2.1,5700,11970,0
51,2.15,1498,3220.7,0
52,2.15,508,1092.2,0
53,2.15,908,1952.2,0
54,2.15,1000,2150,0
55,2.15,1000,2150,0
56,2.15,170,365.5,0
57,2.15,465,999.75,0
58,2.15,4115,8847.25,0
59,2.15,680,1462,0
60,2.15,340,731,0
61,2.15,1365,2934.75,0
62,2.15,6148,13218.2,0
63,2.15,1852,3981.8,0
64,2.15,419,900.85,0
65,2.15,2802,6024.3,0
66,2.25,1000,2250,0
67,2.25,2000,4500,0
68,2.25,279,627.75,0
69,2.25,2787,6270.75,0
70,2.25,2213,4979.25,0
71,2.25,2787,6270.75,0
72,2.25,12213,27479.25,0
73,2.25,5000,11250,0
74,2.25,4029,9065.25,0
75,2.25,10971,24684.75,0
76,2.25,2729,6140.25,0
77,2.25,2500,5625,0
78,2.2,1000,2200,0
79,2.25,500,1125,0
80,2.2,1000,2200,0
81,2.2,1000,2200,0
82,2.2,8000,17600,0
83,2.2,1000,2200,0
84,2.2,1000,2200,0
85,2.2,6000,13200,0
86,2.2,5000,11000,0
87,2.18,8356,18216.08,0
88,2.2,8000,17600,0
89,2.2,3268,7189.6,0
90,2.2,6733,14812.6,0
91,2.2,726,1597.2,0
92,2.2,2541,5590.2,0
93,2.2,6415,14113,0
94,2.2,3585,7887,0
95,2.2,1400,3080,0
96,2.2,2,4.4,0
97,2.21,7086,15660.06,0
98,2.2,5998,13195.6,0
99,2.2,1200,2640,0
100,2.2,5000,11000,0
101,2.2,3427,7539.4,0
102,2.2,4159,9149.8,0
103,2.2,4638,10203.6,0
104,2.2,173,380.6,0
105,2.2,1203,2646.6,0
106,2.2,3624,7972.8,0
107,2.2,5000,11000,0
108,2.2,908,1997.6,0
109,2.2,908,1997.6,0
110,2.2,10409,22899.8,0
111,2.2,6397,14073.4,0
112,2.2,3000,6600,0
113,2.2,9941,21870.2,0
114,2.2,2335,5137,0
115,2.2,970,2134,0
116,2.2,7315,16093,0
117,2.21,500,1105,0
118,2.24,450,1008,0
119,2.25,110,247.5,0
120,2.25,1300,2925,0
121,2.24,2818,6312.32,0
122,2.25,772,1737,0
123,2.25,1890,4252.5,0
124,2.25,5000,11250,0
125,2.25,3110,6997.5,0
126,2.25,2000,4500,0
127,2.25,1000,2250,0
128,2.25,1612,3627,0
129,2.25,388,873,0
130,2.25,3500,7875,0
131,2.25,52,117,0
132,2.25,24,54,0
133,2.25,1424,3204,0
134,2.25,2731,6144.75,0
135,2.25,3587,8070.75,0
136,2.25,3562,8014.5,0
137,2.25,120,270,0
138,2.25,7000,15750,0
139,2.25,302,679.5,0
140,2.25,9698,21820.5,0
141,2.25,10000,22500,0
142,2.25,10000,22500,0
143,2.25,302,679.5,0
144,2.26,3198,7227.48,0
145,2.25,2500,5625,0
146,2.25,5000,11250,0
147,2.25,1584,3564,0
148,2.26,1000,2260,0
149,2.26,5000,11300,0
150,2.26,802,1812.52,0
151,2.27,500,1135,0
152,2.27,2000,4540,0
153,2.3,6143,14128.9,0
154,2.3,8857,20371.1,0
155,2.3,1077,2477.1,0
156,2.3,12780,29394,0
157,2.3,500,1150,0
158,2.3,1262,2902.6,0
159,2.3,842,1936.6,0
160,2.3,458,1053.4,0
161,2.35,5000,11750,0
162,2.35,5000,11750,0
163,2.35,1852,4352.2,0
164,2.35,1700,3995,0
165,2.35,148,347.8,0
166,2.31,1362,3146.22,0
167,2.35,3152,7407.2,0
168,2.35,9999,23497.65,0
169,2.35,6849,16095.15,0
170,2.35,6007,14116.45,0
171,2.35,3151,7404.85,0
172,2.35,842,1978.7,0
173,2.35,3994,9385.9,0
174,2.35,2236,5254.6,0
175,2.35,2683,6305.05,0
176,2.36,5000,11800,0
177,2.36,2500,5900,0
178,2.35,362,850.7,0
179,2.38,137,326.06,0
180,2.38,2500,5950,0
181,2.38,725,1725.5,0
182,2.38,1638,3898.44,0
183,2.38,461,1097.18,0
184,2.38,1033,2458.54,0
185,2.38,239,568.82,0
186,2.38,1753,4172.14,0
187,2.39,1033,2468.87,0
188,2.39,2000,4780,0
189,2.39,2928,6997.92,0
190,2.39,1039,2483.21,0
191,2.39,1461,3491.79,0
192,2.39,500,1195,0
193,2.39,1000,2390,0
194,2.39,5000,11950,0
195,2.39,39,93.21,0
196,2.4,10000,24000,0
197,2.4,5000,12000,0
198,2.4,40000,96000,1
199,2.4,1000,2400,0
200,2.4,500,1200,0
201,2.5,2300,5750,0
202,2.5,2700,6750,0
203,2.55,4060,10353,0
204,2.53,940,2378.2,0
205,2.55,940,2397,0
206,2.6,2000,5200,0
207,2.6,1000,2600,0
208,2.6,2000,5200,0
209,2.6,1000,2600,0
210,2.6,500,1300,0
211,2.64,572,1510.08,0
212,2.64,3000,7920,0
213,2.83,4539,12845.37,0
214,2.83,5461,15454.63,0
215,2.83,2000,5660,0
216,2.83,1039,2940.37,0
217,2.83,1500,4245,0
218,2.83,1425,4032.75,0
219,2.83,17875,50586.25,1
220,2.83,4760,13470.8,0
221,2.83,700,1981,0
222,2.83,1000,2830,0
223,2.83,6365,18012.95,0
224,2.83,3635,10287.05,0
225,2.83,208,588.64,0
226,2.87,3000,8610,0
227,2.83,454,1284.82,0
228,2.83,345,976.35,0
229,2.87,616,1767.92,0
230,2.87,1000,2870,0
231,2.87,2700,7749,0
232,2.87,236,677.32,0
233,2.87,384,1102.08,0
234,2.87,272,780.64,0
235,2.87,3533,10139.71,0
236,2.9,4175,12107.5,0
237,2.9,2386,6919.4,0
238,2.9,976,2830.4,0
239,2.9,2976,8630.4,0
240,2.9,4024,11669.6,0
241,2.9,5000,14500,0
242,2.9,4000,11600,0
243,2.9,2000,5800,0
244,2.83,5000,14150,0
245,2.83,358,1013.14,0
246,2.85,2100,5985,0
247,2.8,1050,2940,0
248,2.8,3429,9601.2,0
249,2.79,600,1674,0
250,2.78,900,2502,0
251,2.79,454,1266.66,0
252,2.79,1421,3964.59,0
253,2.79,2928,8169.12,0
254,2.79,1816,5066.64,0
255,2.79,1816,5066.64,0
256,2.79,7095,19795.05,0
257,2.79,884,2466.36,0
258,2.75,1236,3399,0
259,2.75,464,1276,0
260,2.79,961,2681.19,0
261,2.77,1497,4146.69,0
262,2.77,5000,13850,0
263,2.78,2724,7572.72,0
264,2.79,10,27.9,0
265,2.79,1720,4798.8,0
266,2.79,1952,5446.08,0
267,2.83,2000,5660,0
268,2.85,701,1997.85,0
269,2.85,2726,7769.1,0
270,2.85,3051,8695.35,0
271,2.85,2000,5700,0
272,2.85,2000,5700,0
273,2.89,10000,28900,0
274,2.9,1793,5199.7,0
275,2.89,2468,7132.52,0
276,2.89,2000,5780,0
277,2.89,722,2086.58,0
278,2.9,4231,12269.9,0
279,2.9,1000,2900,0
280,2.9,2500,7250,0
281,2.9,1269,3680.1,0
282,2.9,731,2119.9,0
283,2.9,269,780.1,0
284,2.9,1700,4930,0
285,2.9,1070,3103,0
286,2.9,123,356.7,0
287,2.9,531,1539.9,0
288,2.9,2047,5936.3,0
289,2.9,4853,14073.7,0
290,2.9,147,426.3,0
291,2.9,3353,9723.7,0
292,2.9,868,2517.2,0
293,2.92,2000,5840,0
294,2.9,6450,18705,0
295,2.9,5200,15080,0
296,2.9,4166,12081.4,0
297,2.9,700,2030,0
298,2.9,685,1986.5,0
299,2.88,5416,15598.08,0
300,2.88,2000,5760,0
301,2.89,1384,3999.76,0
302,2.88,18168,52323.84,1
303,2.81,1500,4215,0
304,2.81,10500,29505,0
305,2.88,8228,23696.64,0
306,2.81,4500,12645,0
307,2.8,5000,14000,0
308,2.8,1378,3858.4,0
309,2.8,5,14,0
310,2.79,1790,4994.1,0
311,2.79,5000,13950,0
312,2.75,1758,4834.5,0
313,2.75,1272,3498,0
314,2.75,6483,17828.25,0
315,2.75,1163,3198.25,0
316,2.75,3000,8250,0
317,2.7,504,1360.8,0
318,2.77,404,1119.08,0
319,2.78,496,1378.88,0
320,2.79,604,1685.16,0
321,2.79,4396,12264.84,0
322,2.8,5000,14000,0
323,2.8,5000,14000,0
324,2.8,5000,14000,0
325,2.8,10000,28000,0
326,2.8,10000,28000,0
327,2.8,10000,28000,0
328,2.8,4596,12868.8,0
329,2.8,404,1131.2,0
330,2.81,10000,28100,0
331,2.81,10000,28100,0
332,2.81,681,1913.61,0
333,2.8,5164,14459.2,0
334,2.8,4836,13540.8,0
335,2.8,9836,27540.8,0
336,2.8,1600,4480,0
337,2.8,8564,23979.2,0
338,2.8,5000,14000,0
339,2.8,1436,4020.8,0
340,2.84,1000,2840,0
341,2.8,681,1906.8,0
342,2.8,3669,10273.2,0
343,2.8,5604,15691.2,0
344,2.8,680,1904,0
345,2.75,15000,41250,0
346,2.75,5000,13750,0
347,2.75,10000,27500,0
348,2.75,5000,13750,0
349,2.72,1000,2720,0
350,2.75,5000,13750,0
351,2.75,98,269.5,0
352,2.75,518,1424.5,0
353,2.8,1962,5493.6,0
354,2.8,47,131.6,0
355,2.8,2991,8374.8,0
356,2.8,1900,5320,0
357,2.8,1271,3558.8,0
358,2.8,525,1470,0
359,2.8,3900,10920,0
360,2.8,1204,3371.2,0
361,2.8,896,2508.8,0
362,2.8,2000,5600,0
363,2.77,504,1396.08,0
364,2.8,4500,12600,0
365,2.8,1000,2800,0
366,2.78,4882,13571.96,0
367,2.78,5000,13900,0
368,2.75,8186,22511.5,0
369,2.77,4496,12453.92,0
370,2.76,104,287.04,0
371,2.75,1500,4125,0
372,2.75,714,1963.5,0
373,2.78,1550,4309,0
374,2.78,2000,5560,0
375,2.78,1568,4359.04,0
376,2.78,904,2513.12,0
377,2.75,5000,13750,0
378,2.78,2528,7027.84,0
379,2.78,1000,2780,0
380,2.75,68,187,0
381,2.75,11404,31361,0
382,2.8,500,1400,0
383,2.8,90,252,0
384,2.8,3090,8652,0
385,2.8,910,2548,0
386,2.8,1073,3004.4,0
387,2.8,70,196,0
388,2.79,1535,4282.65,0
389,2.8,1116,3124.8,0
390,2.8,743,2080.4,0
391,2.85,5000,14250,0
392,2.85,19000,54150,1
393,2.84,1000,2840,0
394,2.85,2075,5913.75,0
395,2.84,6300,17892,0
396,2.8,908,2542.4,0
397,2.8,2233,6252.4,0
398,2.8,1057,2959.6,0
399,2.8,410,1148,0
400,2.95,1200,3540,0
401,2.95,2773,8180.35,0
402,2.95,2227,6569.65,0
403,3,2000,6000,0
404,3,500,1500,0
405,3,500,1500,0
406,3,1972,5916,0
407,3,28,84,0
408,3,428,1284,0
409,3,426,1278,0
410,3.05,983,2998.15,0
411,3.05,3989,12166.45,0
412,3.05,15397,46960.85,0
413,3.05,4600,14030,0
414,3.05,3,9.15,0
415,3.05,997,3040.85,0
416,3.05,2997,9140.85,0
417,3.05,3,9.15,0
418,3.05,409,1247.45,0
419,3.05,28,85.4,0
420,3.05,4563,13917.15,0
421,3.05,437,1332.85,0
422,3.05,1563,4767.15,0
423,3.05,2563,7817.15,0
424,3.05,437,1332.85,0
425,3.05,400,1220,0
426,3.05,6557,19998.85,0
427,3,318,954,0
428,3,1682,5046,0
429,3,1816,5448,0
430,3.05,4000,12200,0
431,3.05,2000,6100,0
432,3.05,2000,6100,0
433,3.05,2000,6100,0
434,3.05,2000,6100,0
435,3.05,2000,6100,0
436,3.05,4500,13725,0
437,3.05,1980,6039,0
438,3.08,100,308,0
439,3.1,1079,3344.9,0
440,3.1,2814,8723.4,0
441,3.1,1200,3720,0
442,3.1,921,2855.1,0
443,3.1,1035,3208.5,0
444,3.1,5000,15500,0
445,3.1,3225,9997.5,0
446,3.1,9354,28997.4,0
447,3.1,300,930,0
448,3.09,1904,5883.36,0
449,3.09,45,139.05,0
450,3.09,304,939.36,0
451,3.09,272,840.48,0
452,3.09,68,210.12,0
453,3.09,168,519.12,0
454,3.1,194,601.4,0
455,3.1,5000,15500,0
456,3.1,1000,3100,0
457,3.1,922,2858.2,0
458,3.1,5000,15500,0
459,3.1,3078,9541.8,0
460,3.1,4078,12641.8,0
461,3.18,3000,9540,0
462,3.18,69,219.42,0
463,3.18,1009,3208.62,0
464,3.18,725,2305.5,0
465,3.18,2016,6410.88,0
466,3.18,4133,13142.94,0
467,3.2,8316,26611.2,0
468,3.2,5000,16000,0
469,3.2,14594,46700.8,0
470,3.2,7711,24675.2,0
471,3.2,13973,44713.6,0
472,3.2,1000,3200,0
473,3.3,842,2778.6,0
474,3.3,2648,8738.4,0
475,3.3,1510,4983,0
476,3.3,2745,9058.5,0
477,3.3,623,2055.9,0
478,3.3,255,841.5,0
479,3.3,1500,4950,0
480,3.3,1373,4530.9,0
481,3.3,1515,4999.5,0
482,3.3,454,1498.2,0
483,3.3,24989,82463.7,1
484,3.3,908,2996.4,0
485,3.3,4200,13860,0
486,3.3,2724,8989.2,0
487,3.3,1000,3300,0
488,3.3,973,3210.9,0
489,3.3,1299,4286.7,0
490,3.3,1815,5989.5,0
491,3.34,3000,10020,0
492,3.34,597,1993.98,0
493,3.34,895,2989.3,0
494,3.34,508,1696.72,0
495,3.34,842,2812.28,0
496,3.31,893,2955.83,0
497,3.31,2265,7497.15,0
498,3.3,378,1247.4,0
499,3.3,1515,4999.5,0
500,3.31,107,354.17,0
501,3.3,2000,6600,0
502,3.3,9900,32670,0
503,3.3,3470,11451,0
504,3.3,630,2079,0
505,3.3,2000,6600,0
506,3.31,2000,6620,0
507,3.31,2000,6620,0
508,3.31,300,993,0
509,3.31,2700,8937,0
510,3.34,3800,12692,0
511,3.34,2265,7565.1,0
512,3.34,500,1670,0
513,3.34,1245,4158.3,0
514,3.34,1823,6088.82,0
515,3.34,1447,4832.98,0
516,3.33,1400,4662,0
517,3.33,3600,11988,0
518,3.34,1333,4452.22,0
519,3.34,67,223.78,0
520,3.34,1000,3340,0
521,3.33,5000,16650,0
522,3.34,1775,5928.5,0
523,3.34,1225,4091.5,0
524,3.33,8362,27845.46,0
525,3.33,335,1115.55,0
526,3.33,5000,16650,0
527,3.33,889,2960.37,0
528,3.33,1776,5914.08,0
529,3.34,6742,22518.28,0
530,3.33,1482,4935.06,0
531,3.33,1000,3330,0
532,3.33,592,1971.36,0
533,3.33,3000,9990,0
534,3.33,2708,9017.64,0
535,3.33,292,972.36,0
536,3.33,3260,10855.8,0
537,3.32,300,996,0
538,3.32,1250,4150,0
539,3.32,3450,11454,0
540,3.33,6448,21471.84,0
541,3.33,2102,6999.66,0
542,3.31,10000,33100,0
543,3.31,5000,16550,0
544,3.34,1600,5344,0
545,3.33,898,2990.34,0
546,3.35,448,1500.8,0
547,3.3,7370,24321,0
548,3.3,7327,24179.1,0
549,3.3,1465,4834.5,0
550,3.35,180,603,0
551,3.3,10,33,0
552,3.3,1000,3300,0
553,3.29,2930,9639.7,0
554,3.25,1000,3250,0
555,3.25,1500,4875,0
556,3.25,653,2122.25,0
557,3.25,1000,3250,0
558,3.25,137,445.25,0
559,3.27,669,2187.63,0
560,3.25,1,3.25,0
561,3.25,491,1595.75,0
562,3.25,2000,6500,0
563,3.25,4000,13000,0
564,3.25,1156,3757,0
565,3.25,844,2743,0
566,3.24,2314,7497.36,0
567,3.22,930,2994.6,0
568,3.22,3070,9885.4,0
569,3.22,35,112.7,0
570,3.2,1550,4960,0
571,3.2,1562,4998.4,0
572,3.2,3000,9600,0
573,3.2,2843,9097.6,0
574,3.24,2686,8702.64,0
575,3.25,2476,8047,0
576,3.24,2000,6480,0
577,3.25,37175,120818.75,1
578,3.15,1566,4932.9,0
579,3.1,970,3007,0
580,3.1,1530,4743,0
581,3.1,82,254.2,0
582,3.1,806,2498.6,0
583,3.1,5000,15500,0
584,3,454,1362,0
585,3,1412,4236,0
586,3,940,2820,0
587,3,2472,7416,0
588,3,1588,4764,0
589,3,5000,15000,0
590,3,1133,3399,0
591,3,507,1521,0
592,3,826,2478,0
593,3,3000,9000,0
594,3,1174,3522,0
595,3,1392,4176,0
596,3,5000,15000,0
597,3,9838,29514,0
598,3,1362,4086,0
599,2.9,1200,3480,0
600,2.85,5000,14250,0
601,2.8,1616,4524.8,0
602,2.8,1057,2959.6,0
603,2.8,1500,4200,0
604,2.8,10000,28000,0
605,2.8,3284,9195.2,0
606,2.8,3571,9998.8,0
607,2.95,117,345.15,0
608,2.92,1383,4038.36,0
609,2.8,3364,9419.2,0
610,2.8,781,2186.8,0
611,2.81,518,1455.58,0
612,2.8,2000,5600,0
613,2.8,482,1349.6,0
614,2.8,518,1450.4,0
615,2.8,2000,5600,0
616,2.8,3000,8400,0
617,2.8,1518,4250.4,0
618,2.8,482,1349.6,0
619,2.8,100,280,0
620,2.8,618,1730.4,0
621,2.8,382,1069.6,0
622,2.8,2000,5600,0
623,2.8,2000,5600,0
624,2.85,55,156.75,0
625,2.85,6871,19582.35,0
626,2.9,162,469.8,0
627,2.9,2000,5800,0
628,2.9,2500,7250,0
629,2.9,338,980.2,0
630,2.9,2662,7719.8,0
631,2.9,2338,6780.2,0
632,2.9,2662,7719.8,0
633,2.9,50,145,0
634,2.9,158,458.2,0
635,2.95,1500,4425,0
636,2.95,1890,5575.5,0
637,2.95,3000,8850,0
638,2.95,110,324.5,0
639,2.95,2390,7050.5,0
640,2.95,2610,7699.5,0
641,2.95,454,1339.3,0
642,2.95,500,1475,0
643,2.99,3129,9355.71,0
644,2.99,2724,8144.76,0
645,2.99,2276,6805.24,0
646,3,990,2970,0
647,3,1158,3474,0
648,3,5576,16728,0
649,3,4000,12000,0
650,3,2000,6000,0
651,3,8424,25272,0
652,3,1000,3000,0
653,3,6000,18000,0
654,3,1436,4308,0
655,3,1936,5808,0
656,3,1564,4692,0
657,2.98,3500,10430,0
658,2.98,3312,9869.76,0
659,2.97,1000,2970,0
660,2.97,2520,7484.4,0
661,2.95,1000,2950,0
662,2.94,1000,2940,0
